name	country	lat	lon	timezone
Eslam Qaleh	AF	34.66667	61.06667	Asia/Kabul
Charikar	AF	35.01361	69.17139	Asia/Kabul
Baraki Barak	AF	33.96744	68.9492	Asia/Kabul
Bāmyān	AF	34.82156	67.82734	Asia/Kabul
Balkh	AF	36.75635	66.8972	Asia/Kabul
Bahārak	AF	37.00254	70.90664	Asia/Kabul
Baghlān	AF	36.13068	68.70829	Asia/Kabul
Ārt Khwājah	AF	37.08571	69.47958	Asia/Kabul
Āsmār	AF	35.03333	71.35809	Asia/Kabul
Asadābād	AF	34.87311	71.14697	Asia/Kabul
Andkhoy	AF	36.95293	65.12376	Asia/Kabul
Bāzārak	AF	35.31292	69.51519	Asia/Kabul
Markaz-e Woluswalī-ye Āchīn	AF	34.12583	70.70778	Asia/Kabul
Saint John’s	AG	17.12096	-61.84329	America/Antigua
The Valley	AI	18.21704	-63.05783	America/Anguilla
Sarandë	AL	39.87534	20.00477	Europe/Tirane
Pogradec	AL	40.9025	20.6525	Europe/Tirane
Librazhd	AL	41.17944	20.315	Europe/Tirane
Kukës	AL	42.07694	20.42194	Europe/Tirane
Korçë	AL	40.61861	20.78083	Europe/Tirane
Gjirokastër	AL	40.07583	20.13889	Europe/Tirane
Elbasan	AL	41.11138	20.08224	Europe/Tirane
Bulqizë	AL	41.49167	20.22194	Europe/Tirane
Vlorë	AL	40.4696	19.48379	Europe/Tirane
Tirana	AL	41.32744	19.81866	Europe/Tirane
Shkodër	AL	42.06828	19.51258	Europe/Tirane
Rrashbull	AL	41.32278	19.51028	Europe/Tirane
Peqin	AL	41.04611	19.75111	Europe/Tirane
Patos Fshat	AL	40.64278	19.65083	Europe/Tirane
Patos	AL	40.68333	19.61944	Europe/Tirane
Lushnjë	AL	40.94194	19.705	Europe/Tirane
Lezhë	AL	41.78361	19.64361	Europe/Tirane
Kuçovë	AL	40.80028	19.91667	Europe/Tirane
Krujë	AL	41.50917	19.79278	Europe/Tirane
Kavajë	AL	41.18556	19.55694	Europe/Tirane
Fushë-Krujë	AL	41.47833	19.71778	Europe/Tirane
Fier-Çifçi	AL	40.71667	19.56667	Europe/Tirane
Fier	AL	40.7251	19.55823	Europe/Tirane
Durrës	AL	41.32355	19.45469	Europe/Tirane
Berat	AL	40.70583	19.95222	Europe/Tirane
Kapan	AM	39.20762	46.40678	Asia/Yerevan
Goris	AM	39.51111	46.34168	Asia/Yerevan
Artashat	AM	39.95484	44.54874	Asia/Yerevan
Ararat	AM	39.85494	44.6947	Asia/Yerevan
Yerevan	AM	40.17765	44.5126	Asia/Yerevan
Vagharshapat	AM	40.16557	44.29462	Asia/Yerevan
Sevan	AM	40.548	44.95314	Asia/Yerevan
Masis	AM	40.06595	44.43669	Asia/Yerevan
Vanadzor	AM	40.8074	44.49704	Asia/Yerevan
Gavar	AM	40.35398	45.12386	Asia/Yerevan
Ijevan	AM	40.88037	45.14776	Asia/Yerevan
Hrazdan	AM	40.5169	44.75591	Asia/Yerevan
Armavir	AM	40.15553	44.0388	Asia/Yerevan
Gyumri	AM	40.79305	43.84635	Asia/Yerevan
Dilijan	AM	40.74037	44.86344	Asia/Yerevan
Davtashen	AM	40.21642	44.48088	Asia/Yerevan
Charentsavan	AM	40.40289	44.64447	Asia/Yerevan
Avan	AM	40.21436	44.57846	Asia/Yerevan
Ashtarak	AM	40.2976	44.36152	Asia/Yerevan
Artik	AM	40.61918	43.97207	Asia/Yerevan
Abovyan	AM	40.2717	44.63342	Asia/Yerevan
Erebuni	AM	40.13309	44.53009	Asia/Yerevan
Nor Nork	AM	40.19661	44.5669	Asia/Yerevan
Ajapnyak	AM	40.19917	44.47056	Asia/Yerevan
Kanaker-Zeytun	AM	40.22	44.53833	Asia/Yerevan
Malatia-Sebastia	AM	40.17396	44.4457	Asia/Yerevan
Kentron	AM	40.17806	44.51303	Asia/Yerevan
Shengavit	AM	40.1557	44.4779	Asia/Yerevan
Arabkir	AM	40.20624	44.50365	Asia/Yerevan
Saurimo	AO	-9.66078	20.39155	Africa/Luanda
Lucapa	AO	-8.41915	20.74466	Africa/Luanda
Dundo	AO	-7.36643	20.81557	Africa/Luanda
Chitato	AO	-7.3	20.73333	Africa/Luanda
Cassanguidi	AO	-7.48367	21.30339	Africa/Luanda
Lumbala	AO	-14.10165	21.43531	Africa/Luanda
Luau	AO	-10.70727	22.22466	Africa/Luanda
Cazombo	AO	-11.89914	22.90216	Africa/Luanda
Nzagi	AO	-8.38549	15.30126	Africa/Luanda
Viana	AO	-8.90553	13.37499	Africa/Luanda
Uíge	AO	-7.60874	15.06131	Africa/Luanda
Úcua	AO	-8.65157	14.15653	Africa/Luanda
Tombôco	AO	-6.80517	13.33017	Africa/Luanda
Soyo	AO	-6.1349	12.36894	Africa/Luanda
Songo	AO	-7.35207	14.84629	Africa/Luanda
Sanza Pombo	AO	-7.31473	16.0024	Africa/Luanda
Piri	AO	-8.53412	14.43555	Africa/Luanda
Pango Aluquém	AO	-8.71311	14.46292	Africa/Luanda
N'zeto	AO	-7.228	12.86956	Africa/Luanda
Negage	AO	-7.75938	15.2722	Africa/Luanda
N'dalatando	AO	-9.29782	14.91162	Africa/Luanda
Muxaluando	AO	-8.12307	14.28838	Africa/Luanda
Mussende	AO	-10.5143	16.0199	Africa/Luanda
Mbanza Kongo	AO	-6.26667	14.23833	Africa/Luanda
Maquela do Zombo	AO	-6.05716	15.10971	Africa/Luanda
Malanje	AO	-9.54015	16.34096	Africa/Luanda
Maianga	AO	-8.84693	13.23698	Africa/Luanda
Mabubas	AO	-8.52432	13.68622	Africa/Luanda
Lucala	AO	-9.27268	15.25206	Africa/Luanda
Lubalo	AO	-9.15445	19.28136	Africa/Luanda
Luanda	AO	-8.83682	13.23432	Africa/Luanda
Kunda dya Baze	AO	-8.90769	17.05339	Africa/Luanda
Benfica	AO	-8.94432	13.16431	Africa/Luanda
Gombe	AO	-8.12439	14.29081	Africa/Luanda
Golungo Alto	AO	-9.13333	14.76667	Africa/Luanda
Dondo	AO	-9.68456	14.42788	Africa/Luanda
Dondo	AO	-9.05	15.31667	Africa/Luanda
Cuímba	AO	-6.12085	14.62086	Africa/Luanda
Cuilo	AO	-8.23619	19.52566	Africa/Luanda
Cuango-Luzamba	AO	-9.14583	18.04453	Africa/Luanda
Cazombo	AO	-8.73204	15.37124	Africa/Luanda
Caxito	AO	-8.57848	13.66425	Africa/Luanda
Cangandala	AO	-9.78333	16.43333	Africa/Luanda
Canacassala	AO	-8.16263	14.11663	Africa/Luanda
Camabatela	AO	-8.18812	15.37495	Africa/Luanda
Calumbo	AO	-9.14692	13.41936	Africa/Luanda
Cage Mazumbo	AO	-8.29968	14.34494	Africa/Luanda
Cacuso	AO	-9.42102	15.74668	Africa/Luanda
Cacuaco	AO	-8.7798	13.37478	Africa/Luanda
Cabinda	AO	-5.56198	12.19476	Africa/Luanda
Bula Atumba	AO	-8.67417	14.797	Africa/Luanda
Buco Zau	AO	-4.76667	12.55	Africa/Luanda
Belize	AO	-4.65	12.76667	Africa/Luanda
Barra do Dande	AO	-8.47175	13.37011	Africa/Luanda
Bailundo	AO	-9.57499	15.99442	Africa/Luanda
Gama	AO	-8.5675	13.47639	Africa/Luanda
Cazenga	AO	-8.83796	13.28399	Africa/Luanda
Golfe	AO	-8.86639	13.26173	Africa/Luanda
Camama	AO	-8.93611	13.26518	Africa/Luanda
Talatona	AO	-8.91783	13.18562	Africa/Luanda
Xangongo	AO	-16.7444	14.97494	Africa/Luanda
Alto Hama	AO	-12.23333	15.55	Africa/Luanda
Virei	AO	-15.727	12.94961	Africa/Luanda
Ucuma	AO	-12.96121	15.05958	Africa/Luanda
Ucu Seles	AO	-11.41237	14.30663	Africa/Luanda
Tômbua	AO	-15.80394	11.84485	Africa/Luanda
Sumbe	AO	-11.20605	13.84371	Africa/Luanda
Quipungo	AO	-14.81909	14.53504	Africa/Luanda
Quibala	AO	-10.73366	14.97995	Africa/Luanda
Porto Amboim	AO	-10.73251	13.76844	Africa/Luanda
Ondjiva	AO	-17.06667	15.73333	Africa/Luanda
Nharêa	AO	-11.47512	16.96496	Africa/Luanda
Mossamedes	AO	-15.19611	12.15222	Africa/Luanda
Mungo	AO	-11.83268	16.23613	Africa/Luanda
Menongue	AO	-14.6585	17.69099	Africa/Luanda
Matala	AO	-14.73272	15.03479	Africa/Luanda
Luquembo	AO	-10.73912	17.71766	Africa/Luanda
Luena	AO	-11.78333	19.91667	Africa/Luanda
Lubango	AO	-14.91717	13.4925	Africa/Luanda
Longonjo	AO	-12.90795	15.24845	Africa/Luanda
Londuimbali	AO	-12.23712	15.31697	Africa/Luanda
Lobito	AO	-12.3644	13.53601	Africa/Luanda
Cuíto	AO	-12.38333	16.93333	Africa/Luanda
Catchiungo	AO	-12.56598	16.22589	Africa/Luanda
Humbe	AO	-16.6864	14.90317	Africa/Luanda
Huambo	AO	-12.77611	15.73917	Africa/Luanda
Ganda	AO	-13.01592	14.63502	Africa/Luanda
Gabela	AO	-10.85147	14.37993	Africa/Luanda
Ecunna	AO	-12.67889	15.50556	Africa/Luanda
Dombe Grande	AO	-12.95167	13.1025	Africa/Luanda
Cuemba	AO	-12.15	18.08333	Africa/Luanda
Cubal do Lumbo	AO	-12.31261	14.1265	Africa/Luanda
Cubal	AO	-13.03865	14.2455	Africa/Luanda
Conda	AO	-11.10862	14.33621	Africa/Luanda
Chitembo	AO	-13.55	16.63333	Africa/Luanda
Chinguar	AO	-12.55708	16.33805	Africa/Luanda
Chindumbo	AO	-11.95	14.46667	Africa/Luanda
Cela	AO	-11.42173	15.12345	Africa/Luanda
Catumbela	AO	-12.43002	13.54677	Africa/Luanda
Catabola	AO	-12.15	17.28333	Africa/Luanda
Capunda	AO	-11.13333	14.46667	Africa/Luanda
Camucuio	AO	-14.11382	13.24061	Africa/Luanda
Cambundi Catembo	AO	-10.07531	17.55058	Africa/Luanda
Camacupa	AO	-12.01667	17.48333	Africa/Luanda
Caluquembe	AO	-13.86667	14.43333	Africa/Luanda
Calulo	AO	-10.00055	14.89519	Africa/Luanda
Cahama	AO	-16.28556	14.30962	Africa/Luanda
Caála	AO	-12.8525	15.56056	Africa/Luanda
Bocoio	AO	-12.47017	14.13688	Africa/Luanda
